Book_name,Author,Original_language,First_published,Approximate_sales,Genre
The Total Woman,Marabel Morgan,English,1974,10 million,N/A
Knowledge-value Revolution,Taichi Sakaiya,Japanese,1985,10 million,N/A
Problems in China's Socialist Economy,Xue Muqiao,Chinese,1979,10 million,N/A
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million,N/A
The Dukan Diet,Pierre Dukan,French,2000,10 million,N/A
The Joy of Sex,Alex Comfort,English,1972,10 million,N/A
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million,N/A
The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10 million,N/A
Life of Pi,Yann Martel,English,2001,10 million,N/A
The Front Runner,Patricia Nell Warren,English,1974,10 million,N/A
The Goal,Eliyahu M. Goldratt,English,1984,10 million,N/A
Fahrenheit 451,Ray Bradbury,English,1953,10 million,N/A
Angela's Ashes,Frank McCourt,English,1996,10 million,N/A
The Story of My Experiments with Truth,Mohandas Karamchand Gandhi,Gujarati,1925–1929,10 million,N/A
